Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,School,Longitude,Latitude,Programslist
Kalama Public Library,Cowlitz,Kalama Public Library,Library,312 N 1st St 312 N 1st St,Kalama,Washington,98625,US,[+1] 360-673-4568,http://www.kalamalibrary.org/,English,Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Faulkner University,-86.21641,32.384181,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Business/Commerce (General), Human Resources Management/Personnel Administration (General), Management Information Systems (General), Management Science, Computer and Information Sciences (General), Computer Science, Elementary Education and Teaching, Physical Education Teaching and Coaching, English Language and Literature (General), Clinical Pastoral Counseling/Patient Counseling, Communication Sciences and Disorders (General), Health Services/Allied Health/Health Sciences (General), Mental Health Counseling/Counselor, PreMedicine/PreMedical Studies, PrePhysical Therapy Studies, SpeechLanguage Pathology/Pathologist, History (General), Criminal Justice/Law Enforcement Administration, Criminal Justice/Safety Studies, Law, Legal Studies, Humanities/Humanistic Studies, Mathematics (General), Multi/Interdisciplinary Studies (General), Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Clinical Psychology, Counseling Psychology, Forensic Psychology, Health/Medical Psychology, Industrial and Organizational Psychology, Performance and Sport Psychology, Social Sciences (General), Bible/Biblical Studies, Divinity/Ministry, Youth Ministry, Music (General)"
NewHolly Branch,King,Seattle Public Library,Library,7058 32nd Ave. S.,Seattle,Washington,98118,US,[+1] 206-386-1905,http://www.spl.org/locations/newholly-branch/nhy-computers-and-equipment,"English, Somali, Language Line Services",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Huntingdon College,-86.284366,32.351034,"Biochemistry, Biology/Biological Sciences (General), Cell Biology and Anatomy, Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Business/Commerce (General), Communication (General), Elementary Education and Teaching, Physical Education Teaching and Coaching, English Language and Literature (General), Health and Wellness (General), History (General), Criminal Justice/Law Enforcement Administration, Mathematics (General), Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Religion/Religious Studies, Chemistry (General), Psychology (General), Political Science and Government (General), Fine Arts and Art Studies (Other), Music Performance (General)"
Lakewood Library,Pierce,Pierce County Library Sytem,Library,6300 Wildaire Rd SW,Lakewood,Washington,98499-1321,US,[+1] 253-548-3302,http://www.piercecountylibrary.org,"English, Spanish, Language Line Services",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Jacksonville State University,-85.765321,33.822938,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Finance (General), Marketing/Marketing Management (General), Communication (General), Computer and Information Sciences (General), Information Science/Studies, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, Physical Education Teaching and Coaching, Reading Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Electrical/Electronic/Communications Engineering Technology/Technician, Engineering/EngineeringRelated Technologies/Technicians (Other), Occupational Safety and Health Technology/Technician, English Language and Literature (General), Family and Consumer Sciences/Human Sciences (General), Foreign Languages and Literatures (General), Health and Wellness (General), Nursing Practice, Public Health/Community Nurse/Nursing, Registered Nursing/Registered Nurse, Respiratory Care Therapy/Therapist, History (General), Criminal Justice/Safety Studies, Criminalistics and Criminal Science, Crisis/Emergency/Disaster Management, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Parks/Recreation/Leisure Studies, Sport and Fitness Administration/Management, Chemistry (General), Applied Behavior Analysis, Psychology (General), Public Administration, Social Work, Economics (General), Geographic Information Science and Cartography, Geography, Political Science and Government (General), Sociology (General), Art/Art Studies (General), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
Grandview Public Library,Yakima,Grandview Public Library,Library,500 W Main St,Grandview,Washington,98930,US,[+1] 509-882-9217,http://www.grandview.wa.us/library.htm,English,Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of West Alabama,-88.186329,32.588132,"Biology/Biological Sciences (General), Conservation Biology, Marine Biology and Biological Oceanography, Accounting, Business Administration and Management (General), Finance (General), Management Information Systems (General), Marketing/Marketing Management (General), Communication and Media Studies (Other), Adult and Continuing Education and Teaching, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Education (Other), Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, Higher Education/Higher Education Administration, Physical Education Teaching and Coaching, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education/Multiple Levels, Engineering Technologies/Technicians (General), Engineering/EngineeringRelated Technologies/Technicians (Other), English Language and Literature (General), Athletic Training/Trainer, Health Services/Allied Health/Health Sciences (General), Marriage and Family Therapy/Counseling, Mental Health Counseling/Counselor, Registered Nursing/Registered Nurse, History (General), Homeland Security/Law Enforcement/Firefighting and Related Protective Services (Other), Mathematics (General), Biological and Physical Sciences, Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Chemistry (General), Experimental Psychology, Psychology (General), Econometrics and Quantitative Economics, Sociology (General)"
Richard E Ostrander Summitview Library,Yakima,Yakima Valley Libraries,Library,5709 Summitview Ave,Yakima,Washington,98908-3041,US,[+1] 509-966-7070,http://www.yvl.org,"English, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Miles College,-86.908751,33.482442,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Management Information Systems (General), Communication/Journalism/Related Programs (Other), Computer Systems Networking and Telecommunications, Early Childhood Education and Teaching, English Language and Literature (General), Child Development, History (General), Criminal Justice/Law Enforcement Administration, Mathematics (General), Environmental Science, Chemistry (General), Social Work, Political Science and Government (General), Music (General), Visual and Performing Arts (General)"
Elma Timberland Library,Grays Harbor,Timberland Regional Library,Library,118 N 1st St,Elma,Washington,98541-0547,US,[+1] 360-482-3737,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Mobile,-88.128934,30.793247,"Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Accounting, Business Administration and Management (General), Organizational Behavior Studies, Speech Communication and Rhetoric, Computer and Information Sciences (General), Early Childhood Education and Teaching, Elementary Education and Teaching, Higher Education/Higher Education Administration, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, English Language and Literature (General), Child Development, Family Practice Nurse/Nursing, Marriage and Family Therapy/Counseling, Registered Nursing/Registered Nurse, History (General), General Studies, Mathematics (General), Intercultural/Multicultural and Diversity Studies, Exercise Science and Kinesiology, Philosophy, Religion/Religious Studies, Psychology (General), Criminology, Political Science and Government (General), Sociology (General), Religious/Sacred Music, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music Performance (General), Music Technology, Music (General), Musical Theatre, Voice and Opera"
Montlake Branch,King,Seattle Public Library,Library,713 Eighth Ave. S.,Seattle,Washington,98104,US,[+1] 206-386-1300,http://www.spl.org/locations/montlake-branch/mon-computers-and-equipment,"English, Language Line Services",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Montevallo,-86.865099,33.10625,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Finance (General), Marketing/Marketing Management (General), Radio and Television, Informatics, Counselor Education/School Counseling and Guidance Services, Educational Leadership and Administration (General), Elementary Education and Teaching, Secondary Education and Teaching, English Language and Literature (General), Rhetoric and Composition, Family and Consumer Sciences/Human Sciences (General), Foreign Languages and Literatures (General), Audiology/Audiologist, SpeechLanguage Pathology/Pathologist, History (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Studies, Exercise Science and Kinesiology, Sports/Kinesiology/Physical Education/Fitness (General), Chemistry (General), Psychology (General), Social Work, Political Science and Government (General), Sociology (General), Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
Royal City Community Library,Grant,North Central Regional Library,Library,136 Camelia St,Royal City,Washington,98357,US,[+1] 509-346-9281,http://www.ncrl.org/royalcity.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of North Alabama,-87.680407,34.80731,"Interior Architecture, Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Accounting, Business Administration and Management (General), Business/Managerial Economics, Finance (General), Hospitality Administration/Management (General), Management Information Systems (General), Marketing/Marketing Management (General), Restaurant/Food Services Management, Mass Communication/Media Studies, Speech Communication and Rhetoric, Computer and Information Sciences (General), Information Technology, Culinary Arts and Related Services (Other), Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Elementary Education and Teaching, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education/Multiple Levels, Manufacturing Engineering, Engineering Technologies/Technicians (General), English Language and Literature (General), Writing (General), Apparel and Textiles (General), Family and Community Services, Family and Consumer Sciences/Human Sciences (General), French Language and Literature, German Language and Literature, Spanish Language and Literature, Health and Medical Administrative Services (Other), Registered Nursing/Registered Nurse, History (General), Public/Applied History, Criminal Justice/Law Enforcement Administration, Mathematics (General), Multi/Interdisciplinary Studies (General), Multi/Interdisciplinary Studies (Other), Sustainability Studies, Exercise Science and Kinesiology, Parks/Recreation/Leisure/Fitness/Kinesiology (Other), Sport and Fitness Administration/Management, Chemistry (General), Physical Sciences (Other), Physics (General), Counseling Psychology, Research and Experimental Psychology (Other), Social Work, Geographic Information Science and Cartography, Geography, Political Science and Government (General), Social Sciences (General), Sociology (General), Art/Art Studies (General), Arts/Entertainment/Media Management (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
Sumas Public Library,Whatcom,Whatcom County Library System,Library,451 2nd St,Sumas,Washington,98295,US,[+1] 360-988-2501,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Oakwood University,-86.652705,34.756344,"Biochemistry, Biology/Biological Sciences (General), Biomedical Sciences (General), Accounting, Business Administration and Management (General), Finance (General), Management Information Systems (General), Marketing/Marketing Management (General), Organizational Behavior Studies, Organizational Leadership, Broadcast Journalism, Public Relations/Advertising/Applied Communication, Speech Communication and Rhetoric, Information Technology, Elementary Education and Teaching, Social Science Teacher Education, English Language and Literature (General), Professional/Technical/Business/Scientific Writing, Human Development and Family Studies (General), Spanish Language and Literature, Health and Wellness (General), Health Services/Allied Health/Health Sciences (General), Licensed Practical/Vocational Nurse Training, Physician Assistant, PreOccupational Therapy Studies, PrePhysical Therapy Studies, General Studies, Applied Mathematics (General), Mathematics (General), Chemistry (General), Psychology (General), Public Policy Analysis (General), Social Work, Political Science and Government (General), Lay Ministry, Pastoral Studies/Counseling, Theology/Theological Studies, Urban Ministry, Digital Arts, Voice and Opera"
Dayton Memorial Library,Clark,Columbia County Rural Library District,Library,111 S. 3rd Street,Dayton,Washington,99328,US,[+1] 509-382-4131,http://www.ccrld.lib.wa.us,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Samford University,-86.791799,33.464128,"PreArchitecture Studies, Biochemistry, Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Accounting, Business Administration and Management (General), Business/Commerce (General), Business/Managerial Economics, Entrepreneurship/Entrepreneurial Studies, Finance (General), Marketing/Marketing Management (General), Organizational Leadership, Journalism, Speech Communication and Rhetoric, Computer and Information Sciences (General), Education/Teaching of the Gifted and Talented, Educational Leadership and Administration (General), Educational/Instructional/Curriculum Supervision, Elementary Education and Teaching, Music Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education/Multiple Levels, English Language and Literature (General), Foods/Nutrition/Wellness Studies (General), Human Development and Family Studies (General), Classics and Classical Languages/Literatures/Linguistics (General), Spanish Language and Literature, Audiology/Audiologist, Communication Sciences and Disorders (General), Emergency Room/Trauma Nursing, Family Practice Nurse/Nursing, Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Medical Informatics, Nurse Anesthetist, Nursing Administration, Nursing Practice, Pharmaceutical Sciences, Pharmacy, Physical Therapy/Therapist, Physician Assistant, PreMedicine/PreMedical Studies, PrePhysical Therapy Studies, Psychiatric/Mental Health Nurse/Nursing, Public Health (General), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Advanced Legal Research/Studies (General), Banking/Corporate/Finance/Securities Law, Health Law, Law, Legal Research and Advanced Professional Studies (Other), Legal Studies, Programs for Foreign Lawyers, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Cultural Studies/Critical Theory and Analysis, Multi/Interdisciplinary Studies (General), Environmental Science, Environmental Studies, Sport and Fitness Administration/Management, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Public Administration, Social Work, Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Bible/Biblical Studies, Divinity/Ministry, Lay Ministry, Missions/Missionary Studies, Religious/Sacred Music, Theology/Theological Studies, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Graphic Design, Interior Design, Music Performance (General), Music Theory and Composition, Music (General), Musical Theatre, Voice and Opera"
